Type,Name
Service/Service Learning,Alpha Epsilon Delta 
Social Fraternity/Sorority,Alpha Gamma Delta
Social Fraternity/Sorority,"Alpha Kappa Alpha Sorority, Incorporated"
Cultural/Ethnic,alpha Kappa Delta Phi
Social Fraternity/Sorority,alpha Kappa Delta Phi
Academic/Honor Societies,Alpha Kappa Psi
Graduate/Professional,Alpha Kappa Psi
Activism,"Alpha Phi Alpha Fraternity Incorporated, Epsilon Chapter"
Service/Service Learning,"Alpha Phi Alpha Fraternity Incorporated, Epsilon Chapter"
Social Fraternity/Sorority,"Alpha Phi Alpha Fraternity Incorporated, Epsilon Chapter"
Service/Service Learning,Alpha Phi Omega - Gamma Pi Chapter
Social Fraternity/Sorority,Alpha Phi Sorority
Academic/Honor Societies,Alpha Pi Mu - Industrial Engineering Honor Society
Science/Technology/Engineering,Alpha Pi Mu - Industrial Engineering Honor Society
Graduate/Professional,Alpha Pi Mu - Industrial Engineering Honor Society
Service/Service Learning,Alpha Pi Mu - Industrial Engineering Honor Society
Academic/Honor Societies,Alpha Rho Chi 
Graduate/Professional,Alpha Rho Chi 
Service/Service Learning,Alpha Rho Chi 
Social Fraternity/Sorority,Alpha Tau Omega Fraternity
Academic/Honor Societies,Alpha Tau Pi
Science/Technology/Engineering,Alpha Tau Pi
Environmental,Alpha Tau Pi
Science/Technology/Engineering,Alpha Theta Delta
Sport Clubs & Recreation,Alpine Ski and Snowboard Team
Academic/Honor Societies,Alternate Reality Initiative
Creative & Performing Arts,Alternate Reality Initiative
Science/Technology/Engineering,Alternate Reality Initiative
Graduate/Professional,Alternate Reality Initiative
Media & Creative Writing,Alternate Reality Initiative
Academic/Honor Societies,Alternative Investments Club
Graduate/Professional,Alternative Investments Club
Business & Entrepreneurship,Alternative Investments Club
Science/Technology/Engineering,Alternative Spring Break Chicago
Service/Service Learning,Alternative Spring Break Chicago
Creative & Performing Arts,Amala Dancers
Cultural/Ethnic,Amala Dancers
Creative & Performing Arts,Amazin' Blue/UAC
Activism,Ambatana Multicultural Council
Creative & Performing Arts,Ambatana Multicultural Council
Cultural/Ethnic,Ambatana Multicultural Council
Health & Wellness,Ambatana Multicultural Council
Religious/Spiritual,Ambatana Multicultural Council
Service/Service Learning,Ambatana Multicultural Council
Environmental,Ambatana Multicultural Council
Gender/Sexuality,Ambatana Multicultural Council
Academic/Honor Societies,American Advertising Federation
Graduate/Professional,American Advertising Federation
Media & Creative Writing,American Advertising Federation
Academic/Honor Societies,American Association of Neurological Surgeons at University of Michigan Medical School Medical Student Chapter
Science/Technology/Engineering,American Association of Neurological Surgeons at University of Michigan Medical School Medical Student Chapter
Graduate/Professional,American Association of Neurological Surgeons at University of Michigan Medical School Medical Student Chapter
Health & Wellness,American Association of Neurological Surgeons at University of Michigan Medical School Medical Student Chapter
Academic/Honor Societies,American Association of Pharmaceutical Scientists at the University of Michigan 
Science/Technology/Engineering,American Association of Pharmaceutical Scientists at the University of Michigan 
Graduate/Professional,American Association of Pharmaceutical Scientists at the University of Michigan 
Service/Service Learning,American Association of Pharmaceutical Scientists at the University of Michigan 
Graduate/Professional,"American Association of Women Dentists, University of Michigan Chapter"
Health & Wellness,"American Association of Women Dentists, University of Michigan Chapter"
Service/Service Learning,"American Association of Women Dentists, University of Michigan Chapter"
Gender/Sexuality,"American Association of Women Dentists, University of Michigan Chapter"
Health & Wellness,American Cancer Society’s Relay For Life at the University of Michigan 
Service/Service Learning,American Cancer Society’s Relay For Life at the University of Michigan 
Science/Technology/Engineering,American Chemical Society Graduate Student Organization at the University of Michigan
Graduate/Professional,American Chemical Society Graduate Student Organization at the University of Michigan
Service/Service Learning,American Chemical Society Graduate Student Organization at the University of Michigan
Academic/Honor Societies,American Chemical Society Polymer Division – Student Chapter
Graduate/Professional,American Chemical Society Polymer Division – Student Chapter
Creative & Performing Arts,American Choral Directors Association
Activism,American Civil Liberties Union at the University of Michigan Law School Student Chapter
Cultural/Ethnic,American Civil Liberties Union at the University of Michigan Law School Student Chapter
Graduate/Professional,American Civil Liberties Union at the University of Michigan Law School Student Chapter
Service/Service Learning,American Civil Liberties Union at the University of Michigan Law School Student Chapter
Gender/Sexuality,American Civil Liberties Union at the University of Michigan Law School Student Chapter
Activism,American Civil Liberties Union Undergraduate Chapter
Governance,American Civil Liberties Union Undergraduate Chapter
Academic/Honor Societies,American Dental Education Association (ADEA) Chapter at University of Michigan School of Dentistry
Graduate/Professional,American Dental Education Association (ADEA) Chapter at University of Michigan School of Dentistry
Academic/Honor Societies,American Geriatrics Society Student Chapter
Graduate/Professional,American Geriatrics Society Student Chapter
Health & Wellness,American Geriatrics Society Student Chapter
Service/Service Learning,American Geriatrics Society Student Chapter
Academic/Honor Societies,American Institute of Aeronautics and Astronautics
Science/Technology/Engineering,American Institute of Aeronautics and Astronautics
Graduate/Professional,American Institute of Aeronautics and Astronautics
Science/Technology/Engineering,American Institute of Chemical Engineers
Graduate/Professional,American Institute of Chemical Engineers
Academic/Honor Societies,American Library Association Student Chapter
Science/Technology/Engineering,American Library Association Student Chapter
Governance,American Library Association Student Chapter
Graduate/Professional,American Library Association Student Chapter
Service/Service Learning,American Library Association Student Chapter
Activism,American Medical Student Association
Academic/Honor Societies,American Medical Student Association
Science/Technology/Engineering,American Medical Student Association
Graduate/Professional,American Medical Student Association
Health & Wellness,American Medical Student Association
Service/Service Learning,American Medical Student Association
Activism,American Medical Women's Association
Science/Technology/Engineering,American Medical Women's Association
Graduate/Professional,American Medical Women's Association
Health & Wellness,American Medical Women's Association
Service/Service Learning,American Medical Women's Association
Gender/Sexuality,American Medical Women's Association
Science/Technology/Engineering,American Nuclear Society Student Chapter at the University of Michigan
Activism,American Pharmacists Association Academy of Student Pharmacists
Graduate/Professional,American Pharmacists Association Academy of Student Pharmacists
Health & Wellness,American Pharmacists Association Academy of Student Pharmacists
Service/Service Learning,American Pharmacists Association Academy of Student Pharmacists
Academic/Honor Societies,American Sign Language Club
Cultural/Ethnic,American Sign Language Club
Academic/Honor Societies,American Society for Engineering Education Student Chapter at the University of Michigan
Science/Technology/Engineering,American Society for Engineering Education Student Chapter at the University of Michigan
Graduate/Professional,American Society for Engineering Education Student Chapter at the University of Michigan
Service/Service Learning,American Society for Engineering Education Student Chapter at the University of Michigan
Academic/Honor Societies,American Society of Civil Engineers
Science/Technology/Engineering,American Society of Civil Engineers
Graduate/Professional,American Society of Civil Engineers
Environmental,American Society of Civil Engineers
Academic/Honor Societies,American Society of Mechanical Engineers
Science/Technology/Engineering,American Society of Mechanical Engineers
Graduate/Professional,American Society of Mechanical Engineers
Service/Service Learning,American Society of Mechanical Engineers
Activism,American Student Dental Association at the University of Michigan
Graduate/Professional,American Student Dental Association at the University of Michigan
Health & Wellness,American Student Dental Association at the University of Michigan
Service/Service Learning,American Student Dental Association at the University of Michigan
Graduate/Professional,Anesthesiology Student Interest Group
Activism,Animal Ethics Society
Academic/Honor Societies,Animal Ethics Society
Environmental,Animal Ethics Society
Creative & Performing Arts,Animania: The Japanese Animation Film Society
Cultural/Ethnic,Animania: The Japanese Animation Film Society
Sport Clubs & Recreation,Ann Arbor Melee
Sport Clubs & Recreation,Ann Arbor Smash Ultimate Club
Creative & Performing Arts,Annappella Acappella Group
Academic/Honor Societies,Anthropology Club
Cultural/Ethnic,Anthropology Club
Science/Technology/Engineering,Anthropology Club
Graduate/Professional,Anthropology Club
Graduate/Professional,APEX Consulting Group
Business & Entrepreneurship,APEX Consulting Group
Science/Technology/Engineering,Apex Trading Group
Graduate/Professional,Apex Trading Group
Service/Service Learning,Apex Trading Group
Business & Entrepreneurship,Apex Trading Group
Activism,API Coalition
Cultural/Ethnic,API Coalition
Graduate/Professional,API Coalition
Academic/Honor Societies,Appreciate + Reciprocate
Service/Service Learning,Appreciate + Reciprocate
Science/Technology/Engineering,Arab American Pharmacist Association at the University of Michigan
Cultural/Ethnic,Arab Business Society
Graduate/Professional,Arab Business Society
Business & Entrepreneurship,Arab Business Society
Activism,Arab Student Association
Cultural/Ethnic,Arab Student Association
Creative & Performing Arts,Arabesque Dance Troupe 
Cultural/Ethnic,Arabesque Dance Troupe 
Academic/Honor Societies,Arabic Club at The University of Michigan
Cultural/Ethnic,Arabic Club at The University of Michigan
Graduate/Professional,Arabic Club at The University of Michigan
Media & Creative Writing,Arabic Club at The University of Michigan
Science/Technology/Engineering,ArborHacks
Sport Clubs & Recreation,Archery Club
Creative & Performing Arts,Architectural Representative Committee
Governance,Architectural Representative Committee
Graduate/Professional,Architectural Representative Committee
Service/Service Learning,Architectural Representative Committee
Cultural/Ethnic,Arise Mentorship Program
Academic/Honor Societies,Armchair Science League
Science/Technology/Engineering,Armchair Science League
Graduate/Professional,Armed Forces Association @ Ross
Cultural/Ethnic,Armenian Students' Cultural Association
Activism,Art & Design Collective
Governance,Art & Design Collective
Health & Wellness,Art & Design Collective
Science/Technology/Engineering,Artificial Intelligence Consulting Group
Creative & Performing Arts,Arts Chorale
Activism,Arts in Color
Creative & Performing Arts,Arts in Color
Cultural/Ethnic,Arts in Color
Graduate/Professional,Asia Business Conference
Academic/Honor Societies,Asia Law Society at MLaw
Graduate/Professional,Asia Law Society at MLaw
Activism,Asian American Association
Cultural/Ethnic,Asian American Association
Service/Service Learning,Asian American Association
Cultural/Ethnic,Asian American Business Association
Graduate/Professional,Asian American Business Association
Activism,Asian American High School Conference
Cultural/Ethnic,Asian American High School Conference
Academic/Honor Societies,Asian Consortium for Economic Development
Cultural/Ethnic,Asian Consortium for Economic Development
Graduate/Professional,Asian Consortium for Economic Development
Business & Entrepreneurship,Asian Consortium for Economic Development
Cultural/Ethnic,Asian InterVarsity Christian Fellowship
Religious/Spiritual,Asian InterVarsity Christian Fellowship
Service/Service Learning,Asian InterVarsity Christian Fellowship
Cultural/Ethnic,Asian Pacific American Law Students Association
Graduate/Professional,Asian Pacific American Law Students Association
Cultural/Ethnic,Asian Pacific American Medical Student Association (APAMSA)
Graduate/Professional,Asian Pacific American Medical Student Association (APAMSA)
Health & Wellness,Asian Pacific American Medical Student Association (APAMSA)
Service/Service Learning,Asian Pacific American Medical Student Association (APAMSA)
Cultural/Ethnic,Asian Student Dental Association at The University of Michigan School of Dentistry
Graduate/Professional,Asian Student Dental Association at The University of Michigan School of Dentistry
Cultural/Ethnic,Asian/Asian American Psychology Student Association
Graduate/Professional,Asian/Asian American Psychology Student Association
Academic/Honor Societies,Asian/Pacific Islander American Students in Business
Cultural/Ethnic,Asian/Pacific Islander American Students in Business
Activism,Association for Women in Mathematics UM Student Chapter
Academic/Honor Societies,Association for Women in Mathematics UM Student Chapter
Science/Technology/Engineering,Association for Women in Mathematics UM Student Chapter
Graduate/Professional,Association for Women in Mathematics UM Student Chapter
Gender/Sexuality,Association for Women in Mathematics UM Student Chapter
Activism,Association of Black Social Work Students
Academic/Honor Societies,Association of Black Social Work Students
Cultural/Ethnic,Association of Black Social Work Students
Graduate/Professional,Association of Black Social Work Students
Service/Service Learning,Association of Black Social Work Students
Cultural/Ethnic,Association of Latino Professionals For America
Graduate/Professional,Association of Latino Professionals For America
Business & Entrepreneurship,Association of Latino Professionals For America
Cultural/Ethnic,Association of Multicultural Scientists
Science/Technology/Engineering,Association of Multicultural Scientists
Graduate/Professional,Association of Multicultural Scientists
Graduate/Professional,Association of Women Surgeons - Michigan Student Chapter
Religious/Spiritual,Athletes in Action
Service/Service Learning,Athletes in Action
Sport Clubs & Recreation,Athletes in Action
Graduate/Professional,Atlas Consulting Group
Academic/Honor Societies,Atlas Digital Consulting Group
Science/Technology/Engineering,Atlas Digital Consulting Group
Graduate/Professional,Atlas Digital Consulting Group
Creative & Performing Arts,atmos: coffee + convo collective
Cultural/Ethnic,atmos: coffee + convo collective
Health & Wellness,atmos: coffee + convo collective
Activism,Atmospheres Making Positive Moments 
Academic/Honor Societies,Atmospheres Making Positive Moments 
Creative & Performing Arts,Atmospheres Making Positive Moments 
Cultural/Ethnic,Atmospheres Making Positive Moments 
Science/Technology/Engineering,Atmospheres Making Positive Moments 
Graduate/Professional,Atmospheres Making Positive Moments 
Health & Wellness,Atmospheres Making Positive Moments 
Service/Service Learning,Atmospheres Making Positive Moments 
Environmental,Atmospheres Making Positive Moments 
Creative & Performing Arts,Audio Engineering Society (Student Section) at the University of Michigan
Science/Technology/Engineering,Audio Engineering Society (Student Section) at the University of Michigan
Media & Creative Writing,Audio Engineering Society (Student Section) at the University of Michigan
Science/Technology/Engineering,Auto & Mobility Club at Ross
Graduate/Professional,Auto & Mobility Club at Ross
Sport Clubs & Recreation,Auto & Mobility Club at Ross
Science/Technology/Engineering,Auto Repair Consulting Club
Health & Wellness,Auto Repair Consulting Club
Science/Technology/Engineering,Autonomous Robotic Vehicle Team
Creative & Performing Arts,Auxocardia
Media & Creative Writing,Auxocardia
Service/Service Learning,AYLUS at Michigan
Environmental,AYLUS at Michigan
Religious/Spiritual,Bahá’í Club
Service/Service Learning,Bahá’í Club
Creative & Performing Arts,Ballroom Dance Club
Health & Wellness,Ballroom Dance Club
Sport Clubs & Recreation,Ballroom Dance Club
Creative & Performing Arts,Ballroom Dance Team
Cultural/Ethnic,Ballroom Dance Team
Graduate/Professional,Ballroom Dance Team
Health & Wellness,Ballroom Dance Team
Service/Service Learning,Ballroom Dance Team
Sport Clubs & Recreation,Ballroom Dance Team
Cultural/Ethnic,Bangladeshi Students Association
Academic/Honor Societies,Banking at Michigan
Graduate/Professional,Bankruptcy Law Society
Department,Barger Leadership Institute
Science/Technology/Engineering,Basketball Medicine Club
Health & Wellness,Basketball Medicine Club
Sport Clubs & Recreation,Basketball Medicine Club
Academic/Honor Societies,BBA Finance Club
Graduate/Professional,BBA Finance Club
Graduate/Professional,BBA Marketing Club
Business & Entrepreneurship,BBA Marketing Club
Activism,Best Buddies
Service/Service Learning,Best Buddies
Activism,Beta Alpha Rho Pre-Law & Public Service Fraternity 
Academic/Honor Societies,Beta Alpha Rho Pre-Law & Public Service Fraternity 
Graduate/Professional,Beta Alpha Rho Pre-Law & Public Service Fraternity 
Service/Service Learning,Beta Alpha Rho Pre-Law & Public Service Fraternity 
Academic/Honor Societies,Beta Mu Epsilon
Science/Technology/Engineering,Beta Mu Epsilon
Graduate/Professional,Beta Mu Epsilon
Service/Service Learning,Beta Mu Epsilon
Social Fraternity/Sorority,Beta Mu Epsilon
Service/Service Learning,Beta Theta Pi
Social Fraternity/Sorority,Beta Theta Pi
Religious/Spiritual,Beta Upsilon Chi
Social Fraternity/Sorority,Beta Upsilon Chi
Creative & Performing Arts,Big Ticket Productions/UAC
Activism,BiLateral+
Cultural/Ethnic,BiLateral+
Health & Wellness,BiLateral+
Gender/Sexuality,BiLateral+
Academic/Honor Societies,"Bio-Tech, Entrepreneurship, and Coding Organization"
Science/Technology/Engineering,"Bio-Tech, Entrepreneurship, and Coding Organization"
Graduate/Professional,"Bio-Tech, Entrepreneurship, and Coding Organization"
Media & Creative Writing,"Bio-Tech, Entrepreneurship, and Coding Organization"
Service/Service Learning,"Bio-Tech, Entrepreneurship, and Coding Organization"
Academic/Honor Societies,Bioethics Society 
Graduate/Professional,Bioethics Society 
Health & Wellness,Bioethics Society 
Graduate/Professional,Bioinformatics Graduate Student Association
Academic/Honor Societies,Biointerfaces Interlaboratory Committees
Graduate/Professional,Biointerfaces Interlaboratory Committees
Science/Technology/Engineering,Biological Improvement Organization 
Health & Wellness,Biological Improvement Organization 
Activism,Biology Outreach Team
Science/Technology/Engineering,Biology Outreach Team
Service/Service Learning,Biology Outreach Team
Academic/Honor Societies,Biology Student Alliance
Science/Technology/Engineering,Biology Student Alliance
Service/Service Learning,Biology Student Alliance
Graduate/Professional,Biomedical Engineering Graduate Student Council
Academic/Honor Societies,Biomedical Engineering Society
Graduate/Professional,Biomedical Engineering Society
Service/Service Learning,Biomedical Engineering Society
Governance,Biomedical Graduate Student Government
Graduate/Professional,Biomedical Graduate Student Government
Academic/Honor Societies,Biophysics Club
Science/Technology/Engineering,Biophysics Club
Graduate/Professional,Biophysics Club
Creative & Performing Arts,Biorhythms
Cultural/Ethnic,Biorhythms
Graduate/Professional,Biostatistics Student Association
Cultural/Ethnic,Black Business Student Association
Graduate/Professional,Black Business Student Association
Academic/Honor Societies,Black Business Undergraduate Society
Cultural/Ethnic,Black Business Undergraduate Society
Creative & Performing Arts,Black Film Society
Cultural/Ethnic,Black Film Society
Media & Creative Writing,Black Film Society
Cultural/Ethnic,Black Law Student Association at the University of Michigan Law School
Graduate/Professional,Black Law Student Association at the University of Michigan Law School
Activism,Black Leaders in Art Collective
Academic/Honor Societies,Black Leaders in Art Collective
Creative & Performing Arts,Black Leaders in Art Collective
Cultural/Ethnic,Black Leaders in Art Collective
Health & Wellness,Black Leaders in Art Collective
Media & Creative Writing,Black Leaders in Art Collective
Activism,Black Medical Association 
Cultural/Ethnic,Black Medical Association 
Graduate/Professional,Black Medical Association 
Health & Wellness,Black Medical Association 
Service/Service Learning,Black Medical Association 
Activism,Black Radical Healing Pathways
Cultural/Ethnic,Black Radical Healing Pathways
Health & Wellness,Black Radical Healing Pathways
Academic/Honor Societies,Black Student Psychological Association
Cultural/Ethnic,Black Student Psychological Association
Graduate/Professional,Black Student Psychological Association
Activism,Black Student Union 
Cultural/Ethnic,Black Student Union 
Activism,Black Students in Aero
Cultural/Ethnic,Black Students in Aero
Science/Technology/Engineering,Black Students in Aero
Activism,Black Undergraduate Law Association 
Academic/Honor Societies,Black Undergraduate Law Association 
Cultural/Ethnic,Black Undergraduate Law Association 
Graduate/Professional,Black Undergraduate Law Association 
Service/Service Learning,Black Undergraduate Law Association 
Activism,Black Undergraduate Medical Association
Academic/Honor Societies,Black Undergraduate Medical Association
Cultural/Ethnic,Black Undergraduate Medical Association
Science/Technology/Engineering,Black Undergraduate Medical Association
Cultural/Ethnic,Black Welcome Week
Activism,Black@SI
Academic/Honor Societies,Black@SI
Cultural/Ethnic,Black@SI
Creative & Performing Arts,Blank Space Workshop
Media & Creative Writing,Blank Space Workshop
Activism,Blockchain at Michigan
Science/Technology/Engineering,Blockchain at Michigan
Governance,Blockchain at Michigan
Graduate/Professional,Blockchain at Michigan
Media & Creative Writing,Blockchain at Michigan
Service/Service Learning,Blockchain at Michigan
Health & Wellness,Blood Drives United
Service/Service Learning,Blood Drives United
Creative & Performing Arts,Blue Bop Jazz Orchestra / UAC
Sport Clubs & Recreation,Blue Jitsu
Academic/Honor Societies,Blue Model United Nations
Governance,Blue Model United Nations
Science/Technology/Engineering,BLUElab
Service/Service Learning,BLUElab
Environmental,BLUElab
Science/Technology/Engineering,BLUElab Metro
Service/Service Learning,BLUElab Metro
Environmental,BLUElab Metro
Cultural/Ethnic,BLUElab Sa' Nima' Collaborative
Science/Technology/Engineering,BLUElab Sa' Nima' Collaborative
Service/Service Learning,BLUElab Sa' Nima' Collaborative
Environmental,BLUElab Sa' Nima' Collaborative
Service/Service Learning,BLUElab Thailand
Environmental,BLUElab Thailand
Science/Technology/Engineering,BLUElab Woven Wind
Environmental,BLUElab Woven Wind
Creative & Performing Arts,BlueNote Vocal Jazz Ensemble
Creative & Performing Arts,Blueprint Literary Magazine
Media & Creative Writing,Blueprint Literary Magazine
Activism,Blueprints For Pangaea
Science/Technology/Engineering,Blueprints For Pangaea
Health & Wellness,Blueprints For Pangaea
Service/Service Learning,Blueprints For Pangaea
Environmental,Blueprints For Pangaea
Academic/Honor Societies,BOND Consulting Group
Graduate/Professional,BOND Consulting Group
Service/Service Learning,BOND Consulting Group
Business & Entrepreneurship,BOND Consulting Group
Activism,Books for a Benefit
Service/Service Learning,Books for a Benefit
Academic/Honor Societies,Botany Undergrads Doing Stuff
Science/Technology/Engineering,Botany Undergrads Doing Stuff
Sport Clubs & Recreation,Botany Undergrads Doing Stuff
Environmental,Botany Undergrads Doing Stuff
Health & Wellness,Boxing at the University of Michigan
Health & Wellness,Brain Exercise Initiative at UofM
Service/Service Learning,Brain Exercise Initiative at UofM
Cultural/Ethnic,"Brains, Beauty, and Benevolence "
Service/Service Learning,"Brains, Beauty, and Benevolence "
Service/Service Learning,BrainsRule!
Cultural/Ethnic,BRASA - Brazilian Business Student Association
Graduate/Professional,BRASA - Brazilian Business Student Association
Cultural/Ethnic,Brazilian Student Association
Cultural/Ethnic,Bridges International
Religious/Spiritual,Bridges International
Health & Wellness,Build-A-Kitchen Student Organization
Service/Service Learning,Build-A-Kitchen Student Organization
Environmental,Build-A-Kitchen Student Organization
Activism,Building a Better Michigan
Governance,Building a Better Michigan
Health & Wellness,Building a Better Michigan
Service/Service Learning,Building a Better Michigan
Health & Wellness,Bujinkan Budo Club
Sport Clubs & Recreation,Bujinkan Budo Club
Activism,Bursley Family
Cultural/Ethnic,Bursley Family
Governance,Bursley Family
Health & Wellness,Bursley Family
Service/Service Learning,Bursley Family
Gender/Sexuality,Bursley Family
Governance,Bursley Hall Council
Health & Wellness,Bursley Hall Council
Service/Service Learning,Bursley Hall Council
Graduate/Professional,Business Analytics Club
Academic/Honor Societies,Business at Michigan
Graduate/Professional,Business at Michigan
Service/Service Learning,Business BootCamp at University of Michigan
Business & Entrepreneurship,Business BootCamp at University of Michigan
Graduate/Professional,Business Law Association 
Business & Entrepreneurship,Business Law Association 
Creative & Performing Arts,Cadence Dance Company
Graduate/Professional,California Law Students Association
Activism,Call for Humanity
Health & Wellness,Call for Humanity
Service/Service Learning,Call for Humanity
Health & Wellness,Camp Kesem
Service/Service Learning,Camp Kesem
Graduate/Professional,Campus Chapel
Religious/Spiritual,Campus Chapel
Service/Service Learning,Campus Chapel
Health & Wellness,Campus H.O.P.E.
Religious/Spiritual,Campus H.O.P.E.
Religious/Spiritual,Campus Ministry International
Academic/Honor Societies,Campus Orchestra Board
Creative & Performing Arts,Campus Orchestra Board
Creative & Performing Arts,Cangaço Capoeira - Cordão de Ouro
Cultural/Ethnic,Cangaço Capoeira - Cordão de Ouro
Health & Wellness,Cangaço Capoeira - Cordão de Ouro
Sport Clubs & Recreation,Cangaço Capoeira - Cordão de Ouro
Activism,Canopy Sustainability Magazine
Creative & Performing Arts,Canopy Sustainability Magazine
Media & Creative Writing,Canopy Sustainability Magazine
Environmental,Canopy Sustainability Magazine
Activism,Canterbury House
Creative & Performing Arts,Canterbury House
Health & Wellness,Canterbury House
Religious/Spiritual,Canterbury House
