2018 SOC Code,2018 SOC Major Group,2018 SOC Minor Group,2018 SOC Title,2018 SOC Direct Match Title,Illustrative Example
11-3021,Management Occupations,Operations Specialties Managers,Computer and Information Systems Managers,Computer Security Manager,
11-3021,Management Occupations,Operations Specialties Managers,Computer and Information Systems Managers,Data Operations Director,
11-3021,Management Occupations,Operations Specialties Managers,Computer and Information Systems Managers,Data Processing Manager,
11-3021,Management Occupations,Operations Specialties Managers,Computer and Information Systems Managers,Information Systems Director,
11-3021,Management Occupations,Operations Specialties Managers,Computer and Information Systems Managers,Information Systems Manager,
11-3021,Management Occupations,Operations Specialties Managers,Computer and Information Systems Managers,Information Technology Director,
11-3021,Management Occupations,Operations Specialties Managers,Computer and Information Systems Managers,Information Technology Systems Director,x
11-3021,Management Occupations,Operations Specialties Managers,Computer and Information Systems Managers,Internet Technology Manager,
11-3021,Management Occupations,Operations Specialties Managers,Computer and Information Systems Managers,Management Information Systems Director,x
11-3021,Management Occupations,Operations Specialties Managers,Computer and Information Systems Managers,MIS Director,
11-3031,Management Occupations,Operations Specialties Managers,Financial Managers,Bank Branch Manager,x
11-3031,Management Occupations,Operations Specialties Managers,Financial Managers,Banking Center Manager,
11-3031,Management Occupations,Operations Specialties Managers,Financial Managers,Banking Manager,
11-3031,Management Occupations,Operations Specialties Managers,Financial Managers,City Comptroller,
11-3031,Management Occupations,Operations Specialties Managers,Financial Managers,City Treasurer,
11-3031,Management Occupations,Operations Specialties Managers,Financial Managers,Comptroller,x
11-3031,Management Occupations,Operations Specialties Managers,Financial Managers,Credit Manager,
11-3031,Management Occupations,Operations Specialties Managers,Financial Managers,Financial Director,x
11-3031,Management Occupations,Operations Specialties Managers,Financial Managers,Financial Officer,
11-3031,Management Occupations,Operations Specialties Managers,Financial Managers,Fiscal Manager,
11-3031,Management Occupations,Operations Specialties Managers,Financial Managers,International Bank Manager,
11-3031,Management Occupations,Operations Specialties Managers,Financial Managers,Residential Mortgage Manager,
11-3051,Management Occupations,Operations Specialties Managers,Industrial Production Managers,Industrial Production Manager,
11-3051,Management Occupations,Operations Specialties Managers,Industrial Production Managers,Manufacturing Director,x
11-3051,Management Occupations,Operations Specialties Managers,Industrial Production Managers,Plant Chief,
11-3051,Management Occupations,Operations Specialties Managers,Industrial Production Managers,Plant Manager,x
11-3051,Management Occupations,Operations Specialties Managers,Industrial Production Managers,Plant Superintendent,
11-3051,Management Occupations,Operations Specialties Managers,Industrial Production Managers,Production Control Manager,x
11-3061,Management Occupations,Operations Specialties Managers,Purchasing Managers,Contract Administrator,
11-3061,Management Occupations,Operations Specialties Managers,Purchasing Managers,Contracting Manager,x
11-3061,Management Occupations,Operations Specialties Managers,Purchasing Managers,Director of Strategic Sourcing,
11-3061,Management Occupations,Operations Specialties Managers,Purchasing Managers,Procurement Manager,x
11-3061,Management Occupations,Operations Specialties Managers,Purchasing Managers,Purchasing Director,x
11-3061,Management Occupations,Operations Specialties Managers,Purchasing Managers,Sourcing Manager,
11-3071,Management Occupations,Operations Specialties Managers,"Transportation, Storage, and Distribution Managers",Airport Manager,
11-3071,Management Occupations,Operations Specialties Managers,"Transportation, Storage, and Distribution Managers",Cold Storage Supervisor,
11-3071,Management Occupations,Operations Specialties Managers,"Transportation, Storage, and Distribution Managers",Distribution Center Manager,x
11-3071,Management Occupations,Operations Specialties Managers,"Transportation, Storage, and Distribution Managers",Logistics Manager,
11-3071,Management Occupations,Operations Specialties Managers,"Transportation, Storage, and Distribution Managers",Logistics Supply Officer,
11-3071,Management Occupations,Operations Specialties Managers,"Transportation, Storage, and Distribution Managers",Marine Oil Terminal Superintendent,
11-3071,Management Occupations,Operations Specialties Managers,"Transportation, Storage, and Distribution Managers",Traffic Safety Administrator,x
11-3071,Management Occupations,Operations Specialties Managers,"Transportation, Storage, and Distribution Managers",Transportation Manager,
11-3071,Management Occupations,Operations Specialties Managers,"Transportation, Storage, and Distribution Managers",Warehouse Manager,x
11-3071,Management Occupations,Operations Specialties Managers,"Transportation, Storage, and Distribution Managers",Warehouse Operations Manager,
11-3111,Management Occupations,Operations Specialties Managers,Compensation and Benefits Managers,Compensation Director,x
11-3111,Management Occupations,Operations Specialties Managers,Compensation and Benefits Managers,Employee Benefits Coordinator,
11-3111,Management Occupations,Operations Specialties Managers,Compensation and Benefits Managers,Employee Benefits Director,x
11-3111,Management Occupations,Operations Specialties Managers,Compensation and Benefits Managers,Employee Benefits Manager,
11-3111,Management Occupations,Operations Specialties Managers,Compensation and Benefits Managers,Wage and Salary Administrator,x
11-3121,Management Occupations,Operations Specialties Managers,Human Resources Managers,Employee Relations Manager,
11-3121,Management Occupations,Operations Specialties Managers,Human Resources Managers,Job Analysis Manager,x
11-3121,Management Occupations,Operations Specialties Managers,Human Resources Managers,Labor Relations Director,x
11-3121,Management Occupations,Operations Specialties Managers,Human Resources Managers,Personnel Administrator,
11-3121,Management Occupations,Operations Specialties Managers,Human Resources Managers,Personnel Director,
11-3121,Management Occupations,Operations Specialties Managers,Human Resources Managers,Personnel Manager,x
11-3121,Management Occupations,Operations Specialties Managers,Human Resources Managers,Position Description Manager,x
11-3131,Management Occupations,Operations Specialties Managers,Training and Development Managers,E-Learning Manager,x
11-3131,Management Occupations,Operations Specialties Managers,Training and Development Managers,Employee Development Director,x
11-3131,Management Occupations,Operations Specialties Managers,Training and Development Managers,Employee Development Manager,
11-3131,Management Occupations,Operations Specialties Managers,Training and Development Managers,Labor Training Manager,x
11-9013,Management Occupations,Other Management Occupations,"Farmers, Ranchers, and Other Agricultural Managers",Agricultural Crop Farm Manager,
11-9013,Management Occupations,Other Management Occupations,"Farmers, Ranchers, and Other Agricultural Managers",Animal Husbandry Manager,x
11-9013,Management Occupations,Other Management Occupations,"Farmers, Ranchers, and Other Agricultural Managers",Aquaculture Farm Manager,
11-9013,Management Occupations,Other Management Occupations,"Farmers, Ranchers, and Other Agricultural Managers",Beef Farm Operator,
11-9013,Management Occupations,Other Management Occupations,"Farmers, Ranchers, and Other Agricultural Managers",Christmas Tree Farm Manager,
11-9013,Management Occupations,Other Management Occupations,"Farmers, Ranchers, and Other Agricultural Managers",Dairy Farm Manager,x
11-9013,Management Occupations,Other Management Occupations,"Farmers, Ranchers, and Other Agricultural Managers",Fish Hatchery Manager,x
11-9013,Management Occupations,Other Management Occupations,"Farmers, Ranchers, and Other Agricultural Managers",Greenhouse Manager,
11-9013,Management Occupations,Other Management Occupations,"Farmers, Ranchers, and Other Agricultural Managers",Hatchery Manager,
11-9013,Management Occupations,Other Management Occupations,"Farmers, Ranchers, and Other Agricultural Managers",Orchard Manager,x
11-9021,Management Occupations,Other Management Occupations,Construction Managers,Construction Coordinator,x
11-9021,Management Occupations,Other Management Occupations,Construction Managers,Construction Superintendent,x
11-9021,Management Occupations,Other Management Occupations,Construction Managers,General Contractor,x
11-9021,Management Occupations,Other Management Occupations,Construction Managers,Masonry Contractor Administrator,
11-9031,Management Occupations,Other Management Occupations,"Education and Childcare Administrators, Preschool and Day Care",Childcare Center Administrator,x
11-9031,Management Occupations,Other Management Occupations,"Education and Childcare Administrators, Preschool and Day Care",Childcare Center Director,
11-9031,Management Occupations,Other Management Occupations,"Education and Childcare Administrators, Preschool and Day Care",Early Head Start Director,
11-9031,Management Occupations,Other Management Occupations,"Education and Childcare Administrators, Preschool and Day Care",Head Start Director,x
11-9031,Management Occupations,Other Management Occupations,"Education and Childcare Administrators, Preschool and Day Care",Prekindergarten Program Coordinator,
11-9031,Management Occupations,Other Management Occupations,"Education and Childcare Administrators, Preschool and Day Care",Preschool Director,x
11-9032,Management Occupations,Other Management Occupations,"Education Administrators, Kindergarten through Secondary",Elementary School Principal,x
11-9032,Management Occupations,Other Management Occupations,"Education Administrators, Kindergarten through Secondary",High School Principal,x
11-9032,Management Occupations,Other Management Occupations,"Education Administrators, Kindergarten through Secondary",Junior High School Principal,
11-9032,Management Occupations,Other Management Occupations,"Education Administrators, Kindergarten through Secondary",K-12 School Principal,
11-9032,Management Occupations,Other Management Occupations,"Education Administrators, Kindergarten through Secondary",K-8 School Principal,
11-9032,Management Occupations,Other Management Occupations,"Education Administrators, Kindergarten through Secondary",Middle School Principal,x
11-9032,Management Occupations,Other Management Occupations,"Education Administrators, Kindergarten through Secondary",Secondary School Principal,
11-9033,Management Occupations,Other Management Occupations,"Education Administrators, Postsecondary",Continuing Education Director,
11-9033,Management Occupations,Other Management Occupations,"Education Administrators, Postsecondary",Director of Student Services,x
11-9033,Management Occupations,Other Management Occupations,"Education Administrators, Postsecondary",Graduate School Dean,
11-9033,Management Occupations,Other Management Occupations,"Education Administrators, Postsecondary",Graduate Studies Dean,
11-9033,Management Occupations,Other Management Occupations,"Education Administrators, Postsecondary",Provost,x
11-9033,Management Occupations,Other Management Occupations,"Education Administrators, Postsecondary",University Dean,x
11-9033,Management Occupations,Other Management Occupations,"Education Administrators, Postsecondary",University Department Chair,x
11-9041,Management Occupations,Other Management Occupations,Architectural and Engineering Managers,Electrical Engineering Director,
11-9041,Management Occupations,Other Management Occupations,Architectural and Engineering Managers,Engineering Design Manager,x
11-9041,Management Occupations,Other Management Occupations,Architectural and Engineering Managers,Engineering Manager,
11-9041,Management Occupations,Other Management Occupations,Architectural and Engineering Managers,Engineering Research Manager,
11-9041,Management Occupations,Other Management Occupations,Architectural and Engineering Managers,Global Engineering Manager,x
11-9041,Management Occupations,Other Management Occupations,Architectural and Engineering Managers,Mechanical Engineering Director,x
11-9041,Management Occupations,Other Management Occupations,Architectural and Engineering Managers,Process Engineering Manager,
11-9051,Management Occupations,Other Management Occupations,Food Service Managers,Banquet Director,x
11-9051,Management Occupations,Other Management Occupations,Food Service Managers,Banquet Manager,
11-9051,Management Occupations,Other Management Occupations,Food Service Managers,Cafeteria Director,
11-9051,Management Occupations,Other Management Occupations,Food Service Managers,Food and Beverage Manager,
11-9051,Management Occupations,Other Management Occupations,Food Service Managers,Food Service Director,x
11-9051,Management Occupations,Other Management Occupations,Food Service Managers,Restaurant General Manager,
11-9051,Management Occupations,Other Management Occupations,Food Service Managers,Tavern Operator,x
11-9071,Management Occupations,Other Management Occupations,Gambling Managers,Bingo Manager,
11-9071,Management Occupations,Other Management Occupations,Gambling Managers,Casino Manager,x
11-9071,Management Occupations,Other Management Occupations,Gambling Managers,Gambling Department Head,
11-9071,Management Occupations,Other Management Occupations,Gambling Managers,Gambling Director,
11-9071,Management Occupations,Other Management Occupations,Gambling Managers,Gambling Manager,
11-9071,Management Occupations,Other Management Occupations,Gambling Managers,Slot Operations Director,x
11-9071,Management Occupations,Other Management Occupations,Gambling Managers,Slots Manager,
11-9071,Management Occupations,Other Management Occupations,Gambling Managers,Table Games Manager,x
11-9072,Management Occupations,Other Management Occupations,"Entertainment and Recreation Managers, Except Gambling",Amusement Park Manager,x
11-9072,Management Occupations,Other Management Occupations,"Entertainment and Recreation Managers, Except Gambling",Boat Club Manager,
11-9072,Management Occupations,Other Management Occupations,"Entertainment and Recreation Managers, Except Gambling",Fitness Club Manager,x
11-9072,Management Occupations,Other Management Occupations,"Entertainment and Recreation Managers, Except Gambling",Golf Club Manager,
11-9072,Management Occupations,Other Management Occupations,"Entertainment and Recreation Managers, Except Gambling",Marina Club Manager,x
11-9072,Management Occupations,Other Management Occupations,"Entertainment and Recreation Managers, Except Gambling",Skating Rink Manager,x
11-9072,Management Occupations,Other Management Occupations,"Entertainment and Recreation Managers, Except Gambling",Ski Resort Manager,x
11-9072,Management Occupations,Other Management Occupations,"Entertainment and Recreation Managers, Except Gambling",Tennis Club Manager,
11-9072,Management Occupations,Other Management Occupations,"Entertainment and Recreation Managers, Except Gambling",Theme Park Manager,
11-9081,Management Occupations,Other Management Occupations,Lodging Managers,Bed and Breakfast Innkeeper,x
11-9081,Management Occupations,Other Management Occupations,Lodging Managers,Boardinghouse Keeper,
11-9081,Management Occupations,Other Management Occupations,Lodging Managers,Hotel Director,
11-9081,Management Occupations,Other Management Occupations,Lodging Managers,Hotel Manager,x
11-9081,Management Occupations,Other Management Occupations,Lodging Managers,Hotel Operations Manager,
11-9081,Management Occupations,Other Management Occupations,Lodging Managers,Innkeeper,x
11-9081,Management Occupations,Other Management Occupations,Lodging Managers,Lodging Facilities Manager,
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Chief Medical Information Officer,x
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Clinic Director,x
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Clinical Informatics Director,x
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Clinical Services Director,
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Emergency Medical Service Coordinator,
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Health Care Manager,
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Health Information Services Manager,x
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Health Services Administrator,
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Health Services Director,
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Healthcare Administrator,
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Healthcare Manager,
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Hospice Director,
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Hospice Plan Administrator,
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Hospital Administrator,x
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Hospital Director,
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Medical and Health Information Manager,
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Medical Director,
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Medical Records Administrator,x
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Mental Health Program Manager,x
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Nursing Home Manager,
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Nursing Service Director,
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Occupational Therapy Director,
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Public Health Administrator,
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Respiratory Therapy Director,
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Speech and Hearing Therapy Director,
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Wellness Director,
11-9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Wellness Manager,
11-9121,Management Occupations,Other Management Occupations,Natural Sciences Managers,Agricultural Research Director,x
11-9121,Management Occupations,Other Management Occupations,Natural Sciences Managers,Geochemical Manager,
11-9121,Management Occupations,Other Management Occupations,Natural Sciences Managers,Geophysical Manager,x
11-9121,Management Occupations,Other Management Occupations,Natural Sciences Managers,Ocean Program Administrator,x
11-9131,Management Occupations,Other Management Occupations,Postmasters and Mail Superintendents,Postal Supervisor,x
11-9131,Management Occupations,Other Management Occupations,Postmasters and Mail Superintendents,Postmaster,x
11-9141,Management Occupations,Other Management Occupations,"Property, Real Estate, and Community Association Managers",Apartment Manager,x
11-9141,Management Occupations,Other Management Occupations,"Property, Real Estate, and Community Association Managers",Building Rental Manager,x
11-9141,Management Occupations,Other Management Occupations,"Property, Real Estate, and Community Association Managers",Community Association Manager,
11-9141,Management Occupations,Other Management Occupations,"Property, Real Estate, and Community Association Managers",Condominium Association Manager,
11-9141,Management Occupations,Other Management Occupations,"Property, Real Estate, and Community Association Managers",Homeowner Association Manager,
11-9141,Management Occupations,Other Management Occupations,"Property, Real Estate, and Community Association Managers",Land Acquisition Manager,
11-9141,Management Occupations,Other Management Occupations,"Property, Real Estate, and Community Association Managers",Leasing Property Manager,x
11-9141,Management Occupations,Other Management Occupations,"Property, Real Estate, and Community Association Managers",Property Manager,
11-9141,Management Occupations,Other Management Occupations,"Property, Real Estate, and Community Association Managers",Real Estate Manager,
11-9151,Management Occupations,Other Management Occupations,Social and Community Service Managers,Child Welfare Director,x
11-9151,Management Occupations,Other Management Occupations,Social and Community Service Managers,Community Service Director,
11-9151,Management Occupations,Other Management Occupations,Social and Community Service Managers,Community Service Organization Director,
11-9151,Management Occupations,Other Management Occupations,Social and Community Service Managers,Family Service Center Director,x
11-9151,Management Occupations,Other Management Occupations,Social and Community Service Managers,Neighborhood Service Center Director,
11-9151,Management Occupations,Other Management Occupations,Social and Community Service Managers,Social Service Director,
11-9151,Management Occupations,Other Management Occupations,Social and Community Service Managers,Social Services Director,
11-9151,Management Occupations,Other Management Occupations,Social and Community Service Managers,Youth Program Director,x
11-9161,Management Occupations,Other Management Occupations,Emergency Management Directors,Director of Civil Defense,
11-9161,Management Occupations,Other Management Occupations,Emergency Management Directors,Disaster Response Director,x
11-9161,Management Occupations,Other Management Occupations,Emergency Management Directors,Emergency Management System Director,
11-9161,Management Occupations,Other Management Occupations,Emergency Management Directors,Emergency Planner,
11-9161,Management Occupations,Other Management Occupations,Emergency Management Directors,Emergency Planning and Response Manager,
11-9161,Management Occupations,Other Management Occupations,Emergency Management Directors,Emergency Preparedness Coordinator,x
11-9161,Management Occupations,Other Management Occupations,Emergency Management Directors,Emergency Services Director,
11-9161,Management Occupations,Other Management Occupations,Emergency Management Directors,Emergency Services Program Coordinator,
11-9161,Management Occupations,Other Management Occupations,Emergency Management Directors,EMS Director,
11-9161,Management Occupations,Other Management Occupations,Emergency Management Directors,Public Safety Director,x
11-9171,Management Occupations,Other Management Occupations,Funeral Home Managers,Funeral Home Director,x
11-9171,Management Occupations,Other Management Occupations,Funeral Home Managers,Funeral Home Manager,
11-9171,Management Occupations,Other Management Occupations,Funeral Home Managers,Funeral Service Manager,
11-9179,Management Occupations,Other Management Occupations,"Personal Service Managers, All Other",Day Spa Director,x
11-9179,Management Occupations,Other Management Occupations,"Personal Service Managers, All Other",Nail Salon Manager,x
11-9179,Management Occupations,Other Management Occupations,"Personal Service Managers, All Other",Travel Agency Manager,x
11-9199,Management Occupations,Other Management Occupations,"Managers, All Other",Clerk of Court,x
11-9199,Management Occupations,Other Management Occupations,"Managers, All Other",Environmental Control Administrator,
11-9199,Management Occupations,Other Management Occupations,"Managers, All Other",Highway Patrol Commander,
11-9199,Management Occupations,Other Management Occupations,"Managers, All Other",Safety Coordinator,
11-9199,Management Occupations,Other Management Occupations,"Managers, All Other",Social Science Manager,x
11-9199,Management Occupations,Other Management Occupations,"Managers, All Other",Utilities Manager,x
13-1011,Business and Financial Operations Occupations,Business Operations Specialists,"Agents and Business Managers of Artists, Performers, and Athletes",Artist Manager,
13-1011,Business and Financial Operations Occupations,Business Operations Specialists,"Agents and Business Managers of Artists, Performers, and Athletes",Artist Representative,
13-1011,Business and Financial Operations Occupations,Business Operations Specialists,"Agents and Business Managers of Artists, Performers, and Athletes",Author's Agent,
13-1011,Business and Financial Operations Occupations,Business Operations Specialists,"Agents and Business Managers of Artists, Performers, and Athletes",Band Manager,x
13-1011,Business and Financial Operations Occupations,Business Operations Specialists,"Agents and Business Managers of Artists, Performers, and Athletes",Booking Agent,
13-1011,Business and Financial Operations Occupations,Business Operations Specialists,"Agents and Business Managers of Artists, Performers, and Athletes",Booking Manager,
13-1011,Business and Financial Operations Occupations,Business Operations Specialists,"Agents and Business Managers of Artists, Performers, and Athletes",Fight Manager,
13-1011,Business and Financial Operations Occupations,Business Operations Specialists,"Agents and Business Managers of Artists, Performers, and Athletes",Literary Agent,x
13-1011,Business and Financial Operations Occupations,Business Operations Specialists,"Agents and Business Managers of Artists, Performers, and Athletes",Modeling Agent,
13-1011,Business and Financial Operations Occupations,Business Operations Specialists,"Agents and Business Managers of Artists, Performers, and Athletes",Talent Agent,
13-1011,Business and Financial Operations Occupations,Business Operations Specialists,"Agents and Business Managers of Artists, Performers, and Athletes",Talent Manager,
13-1011,Business and Financial Operations Occupations,Business Operations Specialists,"Agents and Business Managers of Artists, Performers, and Athletes",Theatrical Agent,x
13-1021,Business and Financial Operations Occupations,Business Operations Specialists,"Buyers and Purchasing Agents, Farm Products",Cattle Buyer,
13-1021,Business and Financial Operations Occupations,Business Operations Specialists,"Buyers and Purchasing Agents, Farm Products",Cotton Broker,x
13-1021,Business and Financial Operations Occupations,Business Operations Specialists,"Buyers and Purchasing Agents, Farm Products",Cotton Buyer,
13-1021,Business and Financial Operations Occupations,Business Operations Specialists,"Buyers and Purchasing Agents, Farm Products",Fruit Buyer,x
13-1021,Business and Financial Operations Occupations,Business Operations Specialists,"Buyers and Purchasing Agents, Farm Products",Grain Buyer,
13-1021,Business and Financial Operations Occupations,Business Operations Specialists,"Buyers and Purchasing Agents, Farm Products",Hog Buyer,
13-1021,Business and Financial Operations Occupations,Business Operations Specialists,"Buyers and Purchasing Agents, Farm Products",Livestock Buyer,x
